FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,ANTHRO_MIN,ANTHRO_MAX,BIO_MIN,BIO_MAX,LEFT_CHANNEL,RIGHT_CHANNEL
LA0020090601-053000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,-0.0566065509463507,NA 
LA0020090601-060000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,-0.0923797252210529,NA 
LA0020090601-063000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.256316040800863,NA 
LA0020090601-070000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,-0.0781328404069041,NA 
LA0020090601-073000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,-0.136644542424126,NA 
LA0020090602-053000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.974104232650125,NA 
LA0020090602-060000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.929105412397098,NA 
LA0020090602-063000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.853271259533197,NA 
LA0020090602-070000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.880335736441337,NA 
LA0020090602-073000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.845545512203102,NA 
LA0020090603-053000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.968382985579431,NA 
LA0020090603-060000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.924230197226034,NA 
LA0020090603-063000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.386819735254748,NA 
LA0020090603-070000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.841782597234018,NA 
LA0020090603-073000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.941598557981016,NA 
LA0020090604-053000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.928390275749482,NA 
LA0020090604-060000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.968845557830887,NA 
LA0020090604-063000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.471080997938321,NA 
LA0020090604-073000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.982116009121791,NA 
LA0020090605-053000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.957132839002115,NA 
LA0020090605-060000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.914979927278905,NA 
LA0020090605-063000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,-0.0515216754038153,NA 
LA0020090605-070000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.645451414996153,NA 
LA0020090605-073000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.944852493810779,NA 
LA0020090606-053000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.966797999275858,NA 
LA0020090606-060000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.919520812160433,NA 
LA0020090606-063000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.888367076369452,NA 
LA0020090606-070000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.717091272791738,NA 
LA0020090606-073000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.946858120920746,NA 
LA0020090607-053000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.935410054574808,NA 
LA0020090607-060000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.753069992880869,NA 
LA0020090607-063000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.690177660331776,NA 
LA0020090607-070000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.866252010521634,NA 
LA0020090607-073000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.89719269860146,NA 
LA0020090608-053000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.952643149234203,NA 
LA0020090608-060000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.894730408088742,NA 
LA0020090608-063000.wav,22050,16,60,1,ndsi,1024,1000,2000,2000,11000,0.860233419786978,NA 
