FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,WL,ENVT,MSMOOTH,KSMOOTH,LEFT_CHANNEL,RIGHT_CHANNEL
LA0020090601-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.901649950632542,NA 
LA0020090601-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.920769806460941,NA 
LA0020090601-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.861057389700592,NA 
LA0020090601-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.903751565409204,NA 
LA0020090601-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.917302478046566,NA 
LA0020090602-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.883710985990517,NA 
LA0020090602-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.845281517885626,NA 
LA0020090602-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.808652308495144,NA 
LA0020090602-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.77937682465538,NA 
LA0020090602-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.78336003191427,NA 
LA0020090603-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.88480540208561,NA 
LA0020090603-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.820162743940885,NA 
LA0020090603-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.750618301205321,NA 
LA0020090603-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.620640718223439,NA 
LA0020090603-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.721813743843105,NA 
LA0020090604-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.894759812722924,NA 
LA0020090604-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.866075848238658,NA 
LA0020090604-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.747345458871464,NA 
LA0020090604-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.839506648562279,NA 
LA0020090605-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.871875561377554,NA 
LA0020090605-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.878478441280468,NA 
LA0020090605-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.734797930666466,NA 
LA0020090605-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.775112246940499,NA 
LA0020090605-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.81908778912087,NA 
LA0020090606-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.898217638925843,NA 
LA0020090606-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.880536585441356,NA 
LA0020090606-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.852139883053687,NA 
LA0020090606-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.840667410499784,NA 
LA0020090606-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.842609292180606,NA 
LA0020090607-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.902986118991465,NA 
LA0020090607-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.903971905972232,NA 
LA0020090607-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.922773364976737,NA 
LA0020090607-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.891648221256092,NA 
LA0020090607-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.907634795120356,NA 
LA0020090608-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.88004461267507,NA 
LA0020090608-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.89325185725682,NA 
LA0020090608-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.871542172203368,NA 
LA0020090608-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.835726383439766,NA 
LA0020090608-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.830792051738694,NA 
LA0020090611-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.878892087342499,NA 
LA0020090611-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.882194982065502,NA 
LA0020090611-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.85902798052619,NA 
LA0020090611-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.860442808589278,NA 
LA0020090611-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.865718765663996,NA 
LA0020090612-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.908585356104607,NA 
LA0020090612-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.886542819058703,NA 
LA0020090612-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.881240096461961,NA 
LA0020090612-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.886111529355287,NA 
LA0020090612-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.862868139614026,NA 
LA0020090613-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.898221143047802,NA 
LA0020090613-060000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.897393014512658,NA 
LA0020090613-063000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.897995558024535,NA 
LA0020090613-070000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.911036156253778,NA 
LA0020090613-073000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.87843621831607,NA 
LA0020090614-053000.wav,22050,16,60,1,H,512,hil,NULL,NULL,0.929529050376748,NA 
